name,state,location,control,for_profit,religious_affiliation,degree_type,distance,historically_black,enrollment,founded_in,closed_merged_in,accreditation
Saint Paul School of Theology,Kansas,Leawood,Private,1,Methodist,Seminary,,,,1887,,
The Art Institutes International,Kansas,Overland Park,Private,1,Non-sectarian,Specialized Focus: Art,,,,1887,,
Niagara University,New York,Niagara University,Private,1,Catholic,Baccalaureate College,,,"5,014",1887,,
Heritage Baptist College,Kansas,Lawrence,Private,1,Evangelical,,,,,1887,,
Donnelly College,Kansas,Kansas City,Private,1,Catholic,,,,,1888,,
Kansas Christian College,Kansas,Overland Park,Private,1,Christian,,,,,1888,,
Manhattan Christian College,Kansas,Manhattan,Private,1,Christian,,,,,1888,,
St Lawrence University,New York,Canton,Private,1,Universalist Church,Baccalaureate College,,,"2,647",1888,,
Mars Hill University,North Carolina,Mars Hill,Private,1,0,Baccalaureate College,,,"1,154",1888,,
Wilberforce University,Ohio,Wilberforce,Private,0,0,Baccalaureate College,,1,,1888,,
Lake Erie College,Ohio,Painesville,Private,0,0,Masters University,,,,1888,,
Western Oregon University,Oregon,Monmouth,Public,0,0,Masters University,,,"4,768",1888,,
Columbia College of Business,Oregon,Clackamas,Private,1,Presbyterian,,,,,1888,1999,
Albright College,Pennsylvania,Reading (Berks County),Private,0,United Methodist Church,x,,,"2,401",1888,,
Newberry College,South Carolina,Newberry,Private,1,Lutheran,Baccalaureate College,,,1208,1888,,SACS
San Jose State University,California,San Jose,Public,0,Buddhism,Baccalaureate College,,,"32,828",1888,,
Illinois State University,Illinois,Normal,Public,1,Secularism,,,,,1888,,
MidAmerica Nazarene University,Kansas,Olathe,Private,1,Nazarene,,,,,1888,,
"Newman University, Wichita",Kansas,Wichita,Private,1,Catholic,,,,,1888,,
Lake Forest College,Illinois,Lake Forest,Private,1,Non-sectarian,,,,,1889,,
Saint Mary's Academy and College,Kansas,St. Mary,Private,1,Catholic,,,,,1889,,
Saint Meinrad Seminary and School of Theology,Indiana,Saint Meinrad,Private,0,0,Seminary,,,243,1889,,"HLC, ATS"
Upper Iowa University,Iowa,Fayette,Private,0,0,Masters University,,,"5,713",1889,,"HLC, CCNE"
Leander Clark College,Iowa,Toledo,Private,1,Secularism,,,,,1889,1918,
University of Saint Mary,Kansas,Leavenworth,Private,1,Catholic,,,,,1889,,
College of Saint Benedict and Saint John's University,Minnesota,"St. Joseph, Collegeville",Private,0,Roman Catholic,Baccalaureate College,,,"3,938",1889,,"HLC, ADA, CCNE, NASM, NCATE"
Minnesota Central University,Minnesota,Hastings,Public,1,Assemblies of God,,,,,1889,1867,
Harris–Stowe State University,Missouri,St. Louis,Public,0,Non-sectarian,Baccalaureate College,,,"1,854",1889,,
William Peace University,North Carolina,Raleigh,Private,1,0,Doctoral University,,,910,1889,,
Northern Kentucky University,Kentucky,,Public,0,Non-sectarian,Baccalaureate College,,,,1889,,
Queens University of Charlotte,North Carolina,Charlotte,Private,0,0,Masters University,,,"2,536",1889,,
Jefferson Institute,Oregon,Jefferson,x,x,Christian,,,,,1889,1899,
Sublimity College,Oregon,Sublimity,x,x,Evangelical,,,,,1889,1860,
Alice Lloyd College,Kentucky,,Private,1,Non-sectarian,Baccalaureate College,,,,1889,,
Tennessee Wesleyan University,Tennessee,Athens,Private,1,United Methodist,Baccalaureate College,,,,1889,,
Bellarmine University,Kentucky,,Private,1,Catholic,Baccalaureate College,,,,1889,,
The University of the South,Tennessee,Sewanee,Private,1,Episcopal,Doctoral University,,,,1889,,
Iowa State University,Iowa,Ames,Public,0,0,Doctoral University,,,"34,732",1889,,"HLC, AAMFT, ADA, APA, AVMA, NASM"
Baker University,Kansas,Baldwin City,Private,1,Evangelical,,,,,1889,,
Kentucky Wesleyan College,Kentucky,,Private,1,Methodist,Baccalaureate College,,,,1889,,
Irving College,Maryland,Manchester,x,x,Catholic,,,,,1889,1880,
Winona State University,Minnesota,"Winona, Rochester",Public,0,Non-sectarian,Masters University,,,"8,630",1889,,"HLC, CCNE, NASM, NAST, NCATE"
Hannibal–LaGrange University,Missouri,Hannibal,Private,1,Southern Baptist,Baccalaureate College,,,"1,150",1889,,
Brownville College,Nebraska,Brownville,x,x,Secularism,,,,,1889,1860,
St Bonaventure University,New York,Saint Bonaventure,Private,1,Catholic,Specialized Focus: Theology,,,"2,345",1889,,
Downstate Medical Center,New York,New York City,Public,0,Non-sectarian,,,,"1,899",1889,,
LiNon-sectarianield University,Oregon,McMinnville,Private,1,Baptist,Baccalaureate College,,,"2,606",1889,,
Susquehanna University,Pennsylvania,Selinsgrove (Snyder County),Private,1,Evangelical Lutheran Church in America,x,,,"2,305",1889,,
Sioux Falls Seminary,South Dakota,Sioux Falls,Private,0,0,Seminary,,,,1889,,"HLC, ATSCA"
Madison Business College,Wisconsin,Madison,Private,1,no data,Associates College,,,,1889,1998,
Valparaiso University,Indiana,Valparaiso,Private,0,0,Masters University,,,"4,078",1890,,"HLC, ABA, CCNE, NASM, TCATE"
Lenox College,Iowa,Hopkinton,Private,1,Christian,,,,,1890,1944,
Mid-Continent University,Kentucky,,Private,1,Christian,Baccalaureate College,,,,1890,2014,
Southern Baptist Theological Seminary,Kentucky,,Private,1,Baptist,Seminary,,,,1890,,
Adrian College,Michigan,Adrian,Private,0,Methodist,Baccalaureate College,,,"1,684",1890,,HLC
Otoe University,Nebraska,Nebraska City,Public,0,Catholic,,,,,1890,1872,
Santa Fe University of Art and Design,New Mexico,Santa Fe (Main)Albuquerque,Private,1,Non-sectarian,Baccalaureate College,,,,1890,2018,
Sullivan University,Kentucky,,x,x,Christian,Baccalaureate College,,,,1890,,
Asbury Theological Seminary,Kentucky,,Private,1,Evangelical Christian,Seminary,,,,1890,,
St Francis College,New York,Brooklyn Heights,Private,0,Catholic,Baccalaureate College,,,"2,953",1890,,
Kentucky Mountain Bible College,Kentucky,,Private,1,Christian,Seminary,,,,1890,,
Cooper Union for the Advancement of Science and Art,New York,New York,Private,1,Secularism,,,,972,1890,,
Louisville Bible College,Kentucky,,Private,1,Christian,Seminary,,,,1890,,
Corvallis College,Oregon,Corvallis,x,x,Non-sectarian,,,,,1890,1885,
Frontier Nursing University,Kentucky,,Private,1,Non-sectarian,Specialized Focus: Medicine,,,,1890,,
Boyce College,Kentucky,,Private,1,Christian,,,,,1890,,
Brescia University,Kentucky,,Private,1,Catholic,,,,,1890,,
Clear Creek Baptist Bible College,Kentucky,,Private,1,Baptist,,,,,1890,,
Daymar College,Kentucky,,Private,1,Christian,,,,,1890,,
Averett University[11],Virginia,Danville,Private,1,0,Masters University,,,965,1890,,SACS
Sullivan College of Technology and Design,Kentucky,,Private,1,Methodist,,,,,1890,2018,
Louisiana State University at Eunice† - Eunice,Louisiana,,Public,0,Non-sectarian,Associates College,,,,1890,,
Delta College of Arts & Technology[citation needed] - Baton Rouge,Louisiana,,Private,1,Non-sectarian,Associates College,,,,1890,,
Columbus University,Louisiana,,Private,1,Christian,Baccalaureate College,,,,1890,x,
Virginia College,Louisiana,,Private,1,Non-sectarian,Baccalaureate College,,,,1890,2018,
Dodd College,Louisiana,Shreveport,Private,0,Catholic,Baccalaureate College,,,,1890,1942,
Whitman College,Washington,Walla Walla,Private,0,0,Baccalaureate College,,,"1,475",1890,,
Augustana College,Illinois,Rock Island,Private,1,Christian,,,,,1890,,
Quincy University,Illinois,Quincy,Private,1,Catholic,,,,,1890,,
Wheaton College,Illinois,Wheaton,Private,1,Christian,,,,,1890,,
Manchester University,Indiana,North Manchester,Private,0,Evangelical Christian,Baccalaureate College,,,"1,345",1890,,"HLC, ACPE, TCATE"
Simpson College,Iowa,Indianola,Private,0,Christian,Baccalaureate College,,,"1,866",1890,,"HLC, NASM"
Louisiana State University of Alexandria - Alexandria,Louisiana,,Public,0,Non-sectarian,Baccalaureate College,,,,1891,,
Louisiana State University Shreveport - Shreveport,Louisiana,,Public,0,Non-sectarian,Baccalaureate College,,,,1891,,
Mount Lebanon University,Louisiana,Mount Lebanon,Private,0,Christian,Baccalaureate College,,,,1891,1906,
Southern University at New Orleans - New Orleans,Louisiana,,Public,0,Baptist Christian,Baccalaureate College,,,,1891,,
Southern University at Shreveport† - Shreveport,Louisiana,,Public,0,Baptist Christian,Baccalaureate College,,,,1891,,
Southern University Law Center - Baton Rouge,Louisiana,,Public,0,Baptist Christian,Baccalaureate College,,,,1891,,
St. Mary's Dominican College,Louisiana,New Orleans,Private,0,Roman Catholic     ,Baccalaureate College,,,,1891,1984,
Louisiana State University - Baton Rouge,Louisiana,,Public,0,0,Doctoral University,,,,1891,,
McNeese State University - Lake Charles,Louisiana,,Public,0,Non-sectarian,Baccalaureate College,,,,1891,,
Nicholls State University - Thibodaux,Louisiana,,Public,0,Catholic,Baccalaureate College,,,,1891,,
Borromeo College,Maryland,Pikesville,x,x,Catholic,,,,,1891,1872,
Southeastern Louisiana University - Hammond,Louisiana,,Public,0,Presbyterian,Baccalaureate College,,,,1891,,
Bard College,New York,Annandale-On-Hudson,x,x,Secularism,Baccalaureate College,,,"2,574",1891,,
University of Louisiana at Monroe - Monroe,Louisiana,,Public,0,Nondenominational,Baccalaureate College,,,,1891,,
University of New Orleans - New Orleans,Louisiana,,Public,0,Nondenominational,Baccalaureate College,,,,1891,,
New York Medical College,New York,Valhalla,Private,1,Jewish,Specialized Focus: Medical,,,"1,555",1891,,
Cornerstone University[citation needed] - Lake Charles,Louisiana,,Private,0,Christian,Baccalaureate College,,,,1891,,
SUNY Downstate Medical Center,New York,Brooklyn,Public,0,Secularism,,,,"2,026",1891,,
Franciscan Missionaries of Our Lady University - Baton Rouge,Louisiana,,Private,0,Catholic,Baccalaureate College,,,,1891,,
Augustana University,South Dakota,Sioux Falls,Private,1,0,Baccalaureate College,,,,1891,,"HLC, CCNE, NASM, NCATE"
Chapman University,California,Orange,Private,1,Christian Church (Disciples of Christ),Masters University,,,,1891,,
North Central College,Illinois,Naperville,Private,1,Christian,,,,,1891,,
Xavier University of Louisiana - New Orleans,Louisiana,,Private,0,Catholic,Baccalaureate College,,,,1891,,
Jefferson College,Louisiana,Convent,Private,0,Non-sectarian,Associates College,,,,1891,x,
Luther College,Iowa,Decorah,Private,0,Lutheran,Baccalaureate College,,,"2,471",1891,,"HLC, CCNE, NASM, TCATE"
Immaculate Conception Seminary,New Jersey,South Orange,x,x,0,Seminary,,,,1891,1986,
Louisiana Baptist University and Theological Seminary - Shreveport,Louisiana,,Private,0,Catholic,Seminary,,,,1891,,
Vassar College,New York,Poughkeepsie,Private,1,0,Baccalaureate College,,,"2,644",1891,,
Notre Dame Seminary - New Orleans,Louisiana,,Private,0,Catholic,Seminary,,,,1891,,
SUNY College at Oswego,New York,Oswego,Public,0,Secularism,,,,"9,672",1891,,
University of Washington,Washington,Seattle,Public,0,0,Doctoral University,,,"47,361",1891,,
LSU Health Sciences Center New Orleans - New Orleans,Louisiana,,Public,0,Non-sectarian,Specialized Focus: Medicine,,,,1891,,
LSU Health Sciences Center Shreveport - Shreveport,Louisiana,,Public,1,Non-sectarian,Specialized Focus: Medicine,,,,1891,,
York County Community College,Maine,Wells,Public,0,Non-sectarian,Associates College,,,"2,364",1891,,
Kennebec Valley Community College,Maine,Fairfield,Public,0,Secular,Associates College,,,"3,284",1891,,
Washington County Community College,Maine,Calais,Public,0,Non-sectarian,Associates College,,,597,1891,,
Eastern Maine Community College,Maine,Bangor,Public,0,Secular,Associates College,,,"4,051",1891,,
Central Maine Community College,Maine,Auburn,Public,0,Secular,Associates College,,,"3,978",1891,,
Northern Maine Community College,Maine,Presque Isle,Public,0,Secular,Associates College,,,"1,285",1891,,
Southern Maine Community College,Maine,South Portland,Public,0,Secular,Associates College,,,"8,648",1891,,
Rockford Career College,Illinois,Rockford,Private,1,Non-sectarian,,,,,1891,,
Gustavus Adolphus College,Minnesota,St. Peter,Private,0,Lutheran,Baccalaureate College,,,"2,455",1891,,"HLC, CCNE, NASM, NCATE"
University of South Dakota,South Dakota,Vermillion,Public,0,0,Doctoral University,,,,1891,,"HLC, ABA, ADA, AOTA, APTA, APA, ASHA, LCME, NASAD, NASM, NAST, NCATE, NLNAC"
LeMoyne-Owen College,Tennessee,Memphis,Private,1,United Church of Christ,Baccalaureate College,,,,1891,,
Lakeland University,Wisconsin,Plymouth,Private,0,0,Masters University,,,"3,936",1891,,"HLC, TEAC"
Saint Mary's College of California,California,Moraga,Private,1,Roman Catholic (De La Salle Brothers),Masters University,,,,1892,,
Emporia State University (ESU),Kansas,,Public,0,Non-sectarian,Baccalaureate College,,,,1892,,
Kansas State University (KSU),Kansas,,Public,0,Christian,Baccalaureate College,,,,1892,,
Institute for Doctoral Studies in the Visual Arts,Maine,Portland,Private,1,Non-sectarian,Baccalaureate College,,,79,1892,,
College of the Atlantic,Maine,Bar Harbor,Private,1,Non-sectarian,Baccalaureate College,,,424,1892,,
Unity College,Maine,Unity,Private,1,Catholic,Baccalaureate College,,,766,1892,,
University of Maine at Augusta,Maine,Augusta,Public,0,Non-sectarian,Baccalaureate College,,,"6,193",1892,,
Maine Maritime Academy,Maine,Castine,Public,0,Non-sectarian,Baccalaureate College,,,"1,037",1892,,
Casco Bay College,Maine,Portland,x,x,Catholic,Associates College,,,,1892,1999,
University of Maine at Farmington,Maine,Farmington,Public,1,Muslims,Baccalaureate College,,,"2,424",1892,,
La Salle University,Pennsylvania,Philadelphia,Private,1,Roman Catholic Church,x,,,"6,636",1892,,
La Salle University,Pennsylvania,Philadelphia,Private,1,Roman Catholic Church,Baccalaureate College,,,"6,636",1892,,
Bryant University,Rhodes Island,Smithfield,Private,0,0,Masters University,,,3640,1892,,
University of Denver,Colorado,Denver,Private,1,0,Doctoral University,,,"11,952",1892,,
Concordia University Chicago,Illinois,River Forest,Private,1,Christian,,,,,1892,,
Ottumwa Heights College,Iowa,Ottumwa,Private,1,Catholic,,,,,1892,1980,
John F. Kennedy College,Maine,Fort Kent,x,x,Catholic,Baccalaureate College,,,,1892,1975,
LaMennais College,Maine,Alfred,x,x,Roman Catholic,Baccalaureate College,,,,1892,1959,
Swarthmore College,Pennsylvania,Swarthmore (Delaware County),Private,1,Non-sectarian,x,,,"1,524",1892,,
Oblate College & Seminary,Maine,Bar Harbor,x,x,Catholic,Baccalaureate College,,,,1892,1969,
Lutheran Theological Seminary at Philadelphia,Pennsylvania,Philadelphia,Private,1,Evangelical Lutheran Church in America,Seminary,,,260,1892,2017,
University of New England,Maine,Biddeford,Private,0,0,Masters University,,,"12,245",1892,,
Ottawa University,Arizona,Phoenix,Private,0,Baptist ,Masters University,,,"36,030",1892,,
Lincoln College,Illinois,Lincoln,Private,1,Christian,,,,,1893,,
Indiana State University,Indiana,Terre Haute,Public,0,0,Doctoral University,,,"12,114",1893,,"HLC, ADA, APA, ASHA, NASAD, NASM, TCATE, NLNAC"
Des Moines University,Iowa,Des Moines,Private,1,Catholic,,,,,1893,1929,
University of Kansas (KU),Kansas,,Public,0,0,Doctoral University,,,,1893,,
Ottawa University,Kansas,Ottawa,Private,1,Baptist,,,,,1893,,
Salt Institute for Documentary Studies,Maine,Portland,x,x,Non-sectarian,Specialized Focus: Art,,,,1893,2016,
Northern Conservatory of Music,Maine,Bangor,x,x,0,Specialized Focus: Music,,,,1893,1972,
University of Kentucky,Kentucky,,Public,0,Christian,Baccalaureate College,,,,1893,,
Lexington Theological Seminary,Kentucky,,Private,1,Christian,Seminary,,,,1893,,
University of Maine,Maine,Orono,Public,1,0,Doctoral University,,,"12,488",1893,,
Bowie State University,Maryland,Bowie,Public,0,Non-sectarian,,,,"6,171",1893,,USM (HBCU)
Breakthrough Bible College,Maryland,National Harbor,Private,0,Christian,Seminary,,,200,1893,,
Capital Bible Seminary,Maryland,Greenbelt,Private,0,Christian,Seminary,,,254,1893,,
Yeshivas Ner Yisroel,Maryland,Pikesville,Private,0,Jewish,Seminary,,,562,1893,,
Rider University,New Jersey,Lawrence,Private,1,Non-sectarian,Masters University,,,"5,790",1893,,MSCHE
Maryland University of Integrative Health,Maryland,Laurel,Private,0,Non-sectarian,Special Focus: Medicine,,,"1,238",1893,,
Cornell University,New York,Ithaca,Private,1,0,Doctoral University,,,"22,448",1893,,
Shaw University,North Carolina,Raleigh,Private,1,0,Baccalaureate College,,,"1,411",1893,,
Peirce College,Pennsylvania,Philadelphia,Private,1,Secularism,x,,,"1,892",1893,,
Lehigh University,Pennsylvania,Bethlehem(Northampton County),Private,1,0,Baccalaureate College,,,"7,051",1893,,
Virginia Union University,Virginia,Richmond,Private,1,Baptist,Baccalaureate College,,,"1,561",1893,,SACS
Fairmont State University,West Virginia,Fairmont,Public,1,0,Masters University,,,"4,451",1893,,"ACEN, CCNE, NCATE, HLC"
"University of Maryland, Baltimore County",Maryland,Catonsville,Public,0,Secularism,,,,"13,602",1894,,USM
Lincoln Tech,Maryland,Columbia,Private,1,Non-sectarian,,,,,1894,,
TESST College of Technology,Maryland,Beltsville,Private,1,Non-sectarian,,,,,1894,,
University of Maryland Global Campus,Maryland,Adelphi,Public,0,Secularism,,1,,"58,868",1894,,USM
Stevenson University,Maryland,Stevenson,Private,0,Catholic,,,,"3,876",1894,,
Capitol Technology University,Maryland,Laurel,Private,0,Christian,,,,343,1894,,
Salisbury University,Maryland,Salisbury,Public,0,Christian,,,,"8,617",1894,,USM
University of Baltimore,Maryland,Baltimore,Public,0,Secularism,,,,"4,476",1894,,USM
Northwestern College,Wisconsin,Watertown,Private,1,Christian,Liberal Arts,,,,1894,1995,
Pacific School of Religion,California,Berkeley,Private,1,"United Church of Christ, United Methodist Church, Disciples of Christ",Seminary,,,,1894,,
Edward Waters College,Florida,Jacksonville,Private,1,African Methodist Episcopal Church (AME Church),Baccalaureate College,,1,,1894,,
School of the Art Institute of Chicago,Illinois,Chicago,Private,1,0,Specialized Focus: Art,,,,1894,,
Towson University,Maryland,Towson,Public,0,Catholic,,,,"22,709",1894,,USM (teaching school)
Hope College,Michigan,Holland,Private,0,Reformed Church in America,Baccalaureate College,,,"3,234",1894,,"HLC, CCNE, NASAD, NASD, NASM, NAST, TCATE, ABET"
Davenport University,Michigan,Grand Rapids,Private,1,0,Masters University,,,"7,733",1895,,"HLC, NLNAC"
Western Theological Seminary,Michigan,Holland,Private,0,0,Seminary,,,286,1895,,ATS
Carleton College,Minnesota,Northfield,Private,0,Nondenominational,Baccalaureate College,,,"2,020",1895,,HLC
Rust College - Holly Springs,Mississippi,,Private,1,Methodist,Baccalaureate College,,,,1895,,
Lincoln University,Missouri,Jefferson City,Public,0,0,Masters University,,,"3,109",1895,,
University of New Hampshire,New Hampshire,Durham,Public,0,0,Doctoral University,,,"15,351",1895,,
Roberts Wesleyan College,New York,Rochester,Private,0,Christian,Baccalaureate College,,,"2,085",1895,,
The College of Wooster,Ohio,Wooster,Private,0,0,Baccalaureate College,,,,1895,,
Lebanon Valley College,Pennsylvania,Annville (Lebanon County),Private,1,United Methodist Church,x,,,"1,915",1895,,
Thiel College,Pennsylvania,Greenville (Mercer County),Private,1,Evangelical Lutheran Church in America,x,,,"1,096",1895,,
Fisk University,Tennessee,Nashville,Private,1,0,Baccalaureate College,,,,1895,,
Milligan University,Tennessee,Carter County,Private,1,Christian Churches/Churches of Christ,Masters University,,,,1895,,
Vermont Technical College,Vermont,Randolph Center,Public,0,0,Baccalaureate College,,,,1895,,
SaNon-sectarianord-Brown College,Wisconsin,West Allis,Private,1,Non-sectarian,Associates College,,,"1,377",1895,,"ACICS, ABHES, JRCERT"
University of Wisconsin–Platteville,Wisconsin,Platteville,Public,0,0,Masters University,,,"7,928",1895,,"HLC, NASM, NCATE"
Eastern Christian College,Maryland,"Bel Air, Maryland",x,x,Christian,,,,,1895,2005,
Talladega College,Alabama,Talladega,Private,1,United Church of Christ,Baccalaureate College,,,"1,239",1896,,SACS
Alabama State University,Alabama,Montgomery,Public,0,0,Masters University,,,"4,190",1896,,SACS
Chicago State University,Illinois,Chicago,Public,1,Catholic,Baccalaureate College,,,"2,620",1896,,
University of Illinois at Urbana–Champaign,Illinois,Urbana Champaign,Public,1,Secularism,,,,,1896,,
National Labor College,Maryland,Silver Spring,x,x,Non-sectarian,,,,,1896,2014,
Northeastern Illinois University,Illinois,Chicago,Public,1,Secularism,,,,,1896,,
Eastern State Normal School,Maine,Castine,x,x,Christian,Associates College,,,,1896,1942,
Sojourner–Douglass College,Maryland,Baltimore,Private,x,Non-sectarian,,,,,1896,2015,
Mid-State College,Maine,Augusta,x,x,Non-sectarian,Associates College,,,,1896,2003,
Morgan State University,Maryland,Baltimore,Public,0,Non-sectarian,,,,"6,616",1896,,Independent (HBCU)
West Shore Community College,Michigan,Scottville,Public,0,Secular,Associates College,,,"1,274",1896,,HLC
Wayne County Community College District,Michigan,Detroit,Public,0,Non-sectarian,Associates College,,,"16,822",1896,,"HLC, ADA, ADA"
Washtenaw Community College,Michigan,Ann Arbor,Public,0,Non-sectarian,Associates College,,,"12,160",1896,,"HLC, ADA, APTA, JRCERT, NLNAC"
Kirtland Community College,Michigan,Roscommon,Public,0,Secular,Associates College,,,"1,529",1896,,HLC
Kalamazoo Valley Community College,Michigan,Kalamazoo,Public,0,Non-sectarian,Associates College,,,"8,549",1896,,"HLC, ADA"
Montcalm Community College,Michigan,Sidney Township,Public,0,Non-sectarian,Associates College,,,"1,666",1897,,HLC
Mid Michigan Community College,Michigan,Harrison,Public,0,Non-sectarian,Associates College,,,"4,122",1897,,"HLC, APTA, JRCERT"
Glen Oaks Community College,Michigan,Centreville,Public,0,Secular,Associates College,,,"1,187",1897,,HLC
Southwestern Michigan College,Michigan,Dowagiac,Public,1,Non-sectarian,Associates College,,,"2,252",1897,,HLC
Schoolcraft College,Michigan,Livonia,Public,0,Non-sectarian,Associates College,,,"11,339",1897,,HLC
Oakland Community College,Michigan,Bloomfield Hills,Public,0,Non-sectarian ,Associates College,,,"18,923",1897,,HLC
Monroe County Community College,Michigan,Monroe,Public,0,Non-sectarian,Associates College,,,"3,143",1897,,"HLC, NLNAC"
Bay de Noc Community College,Michigan,Escanaba,Public,0,Non-sectarian,Associates College,,,"1,842",1897,,"HLC, NLNAC"
Delta College,Michigan,University Center,Public,0,Christian,Associates College,,,"9,132",1897,,"HLC, ADA, APTA, JRCERT, NLNAC"
North Central Michigan College,Michigan,Petoskey,Public,0,Methodist,Associates College,,,"2,618",1897,,HLC
Lansing Community College,Michigan,Lansing,Public,1,Christian,Associates College,,,"13,583",1897,,"HLC, ADA, CMTA, JRCERT, NLNAC"
Kellogg Community College,Michigan,Battle Creek,Public,1,Non-sectarian,Associates College,,,"4,815",1897,,"HLC, ADA, APTA, JRCERT"
Macomb Community College,Michigan,Warren,Public,1,Methodist,Associates College,,,"21,734",1897,,"HLC, AOTA, JRCERT"
Alpena Community College,Michigan,Alpena,Public,0,Secular,Associates College,,,"1,536",1897,,HLC
Northwestern Michigan College,Michigan,Traverse City,Public,0,Non-sectarian,Associates College,,,"4,164",1897,,"HLC, ADA"
Lake Michigan College,Michigan,Benton Harbor,Public,1,Catholic,Associates College,,,"4,059",1898,,"HLC, ADA, AOTA, JRCERT, NLNAC"
Henry Ford College,Michigan,Dearborn,Public,0,Non-sectarian,Associates College,,,"12,653",1898,,"HLC, APTA, JRCERT, NLNAC"
Gogebic Community College,Michigan,Ironwood,Public,0,Non-sectarian,Associates College,,,"1,110",1898,,HLC
Jackson College,Michigan,Jackson,Public,0,Baptists,Associates College,,,"5,413",1898,,"HLC, JRCERT"
Muskegon Community College,Michigan,Muskegon,Public,0,Christian,Associates College,,,"4,423",1898,,"HLC, NLNAC"
St. Clair County Community College,Michigan,Port Huron,Public,0,Secular,Associates College,,,"3,625",1898,,"HLC, NLNAC"
Mott Community College,Michigan,Flint,Public,0,Non-sectarian,Associates College,,,"8,013",1898,,"HLC, ADA, NLNAC"
McDaniel College,Maryland,Westminster,Private,0,Methodist,,,,"2,845",1898,,
Truman State University,Missouri,Kirksville,Public,0,0,Masters University,,,"5,880",1898,,
Concordia University Ann Arbor,Michigan,Ann Arbor,Private,0,Lutheran Church ,Baccalaureate College,,,"1,046",1898,,"HLC, TCATE"
Rochester University,Michigan,Rochester Hills,Private,0,Churches of Christ,Baccalaureate College,,,"1,174",1898,,"HLC, CCNE"
Northwood University,Michigan,Midland,Private,0,Christian,Baccalaureate College,,,"3,545",1898,,HLC
Great Lakes Christian College,Michigan,Lansing,Private,0,Christian,Baccalaureate College,,,133,1898,,"HLC, ABHE"
Lake Superior State University,Michigan,Sault Ste. Marie,Public,1,Christian,Baccalaureate College,,,"2,099",1898,,"HLC, NLNAC"
Kuyper College,Michigan,Grand Rapids,Private,1,Christian,Baccalaureate College,,,208,1898,,"HLC, ABHE"
Grace Christian University,Michigan,Wyoming,Private,0,Nondenominational,Baccalaureate College,,,"1,012",1898,,"HLC, ABHE"
Peru State College,Nebraska,Peru,Public,0,Non-sectarian,Baccalaureate College,,,"2,327",1899,,
Centenary University,New Jersey,"Hackettstown, Long Valley, Parsippany, and Edison",Private,1,Methodist,Masters University,,,"3,000",1899,,MSCHE
Drew University,New Jersey,Madison,Private,1,Methodist,Masters University,,,"2,369",1899,,MSCHE
Drew Theological School,New Jersey,Madison,Private,x,United Methodist Church,,,,,1899,,"ATS, MSCHE"
SUNY College at Geneseo,New York,Geneseo,Public,0,Roman Catholic,Baccalaureate College,,,"5,986",1899,,
Barber-Scotia College,North Carolina,Concord,Private,1,0,Baccalaureate College,,,120,1899,,
Johnson C. Smith University,North Carolina,Charlotte,Private,1,0,Baccalaureate College,,,"1,565",1899,,
Johnson & Wales University,North Carolina,Charlotte,Private,1,0,Baccalaureate College,,,"1,565",1899,,
St. Augustine's University,North Carolina,Raleigh,Private,1,0,Baccalaureate College,,,767,1899,,
Fayetteville State University,North Carolina,Fayetteville,Public,0,0,Doctoral University,,,"6,020",1899,,
Lewis & Clark College,Oregon,Portland,Private,1,0,Baccalaureate College,,,"3,259",1899,,
Oakland University,Michigan,Rochester Hills,Public,1,Non-sectarian,Doctoral University,,,"20,012",1899,,"HLC, APTA, CCNE, AANA, NASD, NASM, NAST, TCATE"
Albany College,Oregon,Albany,Private,1,Jewish,,,,,1899,1942,
Philomath College,Oregon,Philomath,x,x,Christian,,,,,1899,1927,
Cedar Crest College,Pennsylvania,Allentown (Lehigh County),Private,1,Secular,x,,,"1,885",1899,,
King University,Tennessee,Bristol,Private,1,Presbyterian Church (USA) and Evangelical Presbyterian Church,Doctoral University,,,,1899,,
South University[9],Virginia,Multiple[10],Private,1,0,Baccalaureate College,,,536,1899,,SACS
Southern Virginia University,Virginia,Buena Vista,Private,1,0,Baccalaureate College,,,"1,035",1900,,SACS
West Virginia University,West Virginia,Morgantown,Public,0,0,Doctoral University,,,"29,707",1900,,"ACPE, ABA, ADA, ADA, AOTA, APTA, APA, ASHA, CCNE, CEPH, LCME, NASAD, NASM, NAST, NCATE, HLC"
Storer College,West Virginia,Harpers Ferry,Public,0,Christian,,,,,1900,1955,
Holy Names University,California,Oakland,Private,1,Roman Catholic (Sisters of the Holy Names of Jesus and Mary),Masters University,,,,1900,,
Saginaw Valley State University,Michigan,University Center,Public,0,Non-sectarian,Masters University,,,"9,105",1900,,"HLC, AOTA, CCNE, NASM, TCATE"
Grand Valley State University,Michigan,Allendale,Public,0,Non-sectarian,Masters University,,,"25,460",1900,,"HLC, APTA, CCNE, NASAD, NASM, TCATE"
University of Michigan–Dearborn,Michigan,Dearborn,Public,0,Catholic,Masters University,,,"9,131",1900,,"HLC, TCATE"
University of Michigan–Flint,Michigan,Flint,Public,0,Non-sectarian,Masters University,,,"8,044",1900,,"HLC, APTA, CCNE, AANA, JRCERT, NASM"
Cornerstone University,Michigan,Grand Rapids,Private,0,Nondenominational,Masters University,,,"2,447",1900,,"HLC, ATS, NASM"
