name,state,location,control,for_profit,religious_affiliation,degree_type,distance,historically_black,enrollment,founded_in,closed_merged_in,accreditation
Edison State Community College,Ohio,Piqua,Public,0,0,Associates College,,,,1956,,
Hocking College,Ohio,Nelsonville,Public,1,0,Associates College,,,,1957,,
James A. Rhodes State College,Ohio,Lima,Public,0,Non-sectarian,Associates College,,,,1957,,
Lakeland Community College,Ohio,Kirtland and Madison,Public,0,Christian,Associates College,,,,1957,,
Lorain County Community College,Ohio,"Elyria, Wellington, North Ridgeville, and Lorain",Public,0,Non-sectarian,Associates College,,,,1957,,
Marion Technical College,Ohio,Marion,Public,0,Christian,Associates College,,,,1957,,
North Central State College,Ohio,Mansfield,Public,0,Methodist,Associates College,,,,1957,,
Northwest State Community College,Ohio,Archbold,Public,0,Non-sectarian,Associates College,,,,1957,,
Ohio Technical College,Ohio,Cleveland,Private,1,Catholic,Associates College,,,,1957,,
Owens Community College,Ohio,Toledo and Findlay,Public,0,Non-sectarian,Associates College,,,,1957,,
Oklahoma Panhandle State University,Oklahoma,Goodwell,Public,0,0,Masters University,,,"1,262",1957,,
Southern State Community College,Ohio,"Hillsboro, Mount Orab, Wilmington, and Washington Court House",Public,1,Non-sectarian,Associates College,,,,1957,,
Stark State College,Ohio,Canton,Public,0,Catholic,Associates College,,,,1957,,
Terra State Community College,Ohio,Fremont,Public,0,Non-sectarian,Associates College,,,,1957,,
Washington State Community College,Ohio,Marietta,Public,0,Non-sectarian,Associates College,,,,1957,,
Zane State College,Ohio,Zanesville,Public,0,Non-sectarian,Associates College,,,,1957,,
Allegheny Wesleyan College,Ohio,Salem,Private,1,Methodist,Baccalaureate College,,,,1957,,
University of Central Oklahoma,Oklahoma,Edmond,Public,0,0,Masters University,,,"15,307",1957,,
University of Oklahoma,Oklahoma,Norman,Public,0,0,Masters University,,,"28,564",1957,,
Coquille College,Oregon,,x,x,Christian,,,,,1957,1905,
Converse College,South Carolina,Spartanburg,Private,1,0,Masters University,,,1380,1957,,SACS
Belmont University,Tennessee,Nashville,Private,1,None (Christian),Doctoral University,,,,1957,,
Texas Wesleyan University,Texas,,Private,1,Methodist,Baccalaureate College,,,,1957,,
University of North Texas,Texas,,Public,0,0,Baccalaureate College,,,"37,979",1957,,
Washington State University,Washington,Pullman,Public,0,0,Doctoral University,,,"31,478",1958,,
Pacific Lutheran University,Washington,Tacoma,Private,1,0,Masters University,,,"3,100",1958,,
Whitworth University,Washington,Spokane,Private,1,0,Masters University,,,"3,100",1958,,
West Virginia Wesleyan College,West Virginia,Buckhannon,Private,0,0,Baccalaureate College,,,"1,394",1958,,"ACEN, NASM, NCATE, HLC"
Viterbo University,Wisconsin,La Crosse,Private,0,0,Masters University,,,"3,238",1958,,"HLC, ADA, CCNE, NASM, NCATE"
"University of California, Santa Barbara",California,Santa Barbara,Public,1,Non-sectarian,Baccalaureate College,,,"24,346",1958,,
Ohio Christian University,Ohio,Circleville,Private,0,0,Baccalaureate College,,,,1958,,
California Institute of Technology,California,Pasadena,Private,1,0,Doctoral University,,,,1958,,
StaNon-sectarianord University,California,StaNon-sectarianord,Private,1,0,Doctoral University,,,,1958,,
Remington College,Ohio,Cleveland,Private,1,Non-sectarian,Baccalaureate College,,,,1958,,
University of La Verne,California,La Verne,Private,1,Church of the Brethren,Doctoral University,,,,1958,,
Shawnee State University,Ohio,Portsmouth,Public,1,Non-sectarian,Baccalaureate College,,,,1958,,
Delaware State University,Delaware,Dover,Public,0,0,Masters University,,,"4,328",1958,,
Georgia College & State University,Georgia,Milledgeville,Public,0,Non-sectarian,Baccalaureate College,,,6200,1958,,
College of Idaho,Idaho,Caldwell,Private,1,Christian,Baccalaureate College,,,"1,144",1958,,
Stevens–Henager College,Idaho,Idaho Falls and Boise,Private,0,Non-sectarian,Baccalaureate College,,,470,1958,,
North Park University,Illinois,Chicago,Private,1,Christian,Baccalaureate College,,,"1,866",1958,,
Buena Vista University,Iowa,Storm Lake,Private,0,Presbyterian,Baccalaureate College,,,"2,555",1958,,HLC
Charles City College,Iowa,Charles City,Private,1,Methodist,,,,,1958,1914,
Saint Joseph Seminary College - Covington,Louisiana,,Private,0,Catholic,Seminary,,,,1958,,
Beal College,Maine,Bangor,Private,1,Non-sectarian,Associates College,,,600,1958,,
Maine College of Health Professions,Maine,Lewiston,Private,1,Non-sectarian,Associates College,,,216,1958,,
Cleveland State University,Ohio,Cleveland,Public,1,Nondenominational,Doctoral University,,,,1958,,
Michigan State University College of Law,Michigan,East Lansing,Private,0,0,Specialized Focus: Law,,,846,1959,,ABA
Detroit Institute of Technology,Michigan,Detroit,Private,1,Catholic,,,,,1959,1982,
Grand Traverse College,Michigan,Benzonia,Private,1,Christian,,,,,1959,1900,
Northeast Ohio Medical University,Ohio,Rootstown,Public,0,Non-sectarian,Doctoral University,,,,1959,,
Concordia College,Minnesota,Moorhead,Private,0,Lutheran,Baccalaureate College,,,"2,114",1959,,"HLC, ADA, CCNE, NASM"
Duluth Business University,Minnesota,Duluth,Private,1,Non-sectarian,,,,,1959,2018,
Presbyterian Theological Seminary,Nebraska,Omaha,x,x,0,Seminary,,,,1959,1943,
Union Institute & University,Ohio,Cincinnati,Private,1,Christian,Doctoral University,,,,1959,,
Wright State University[20],Ohio,Dayton,Public,0,Non-sectarian,Doctoral University,,,,1959,,
Antioch University Midwest,Ohio,Yellow Springs,Private,0,0,Masters University,,,,1959,,
